Date,Open,Close,High,Volume,Movement,Daily_Return,Volatility,Close_lag1,High_lag1,Volume_lag1,Daily_Return_lag1,Volatility_lag1
2011-04-13,0.43,0.44,0.44,749588000.0,0,2.3255813953488413,3.3731373436110212,0.43,0.43,840756000.0,0.0,3.2162810523331236
2011-04-14,0.43,0.46,0.46,1254704000.0,0,4.545454545454541,3.340842072475847,0.44,0.44,749588000.0,2.3255813953488413,3.3731373436110212
2011-04-15,0.45,0.46,0.47,969720000.0,0,0.0,2.038826799364259,0.46,0.46,1254704000.0,4.545454545454541,3.340842072475847
2011-04-18,0.45,0.45,0.45,743584000.0,0,-2.1739130434782594,2.56820905833597,0.46,0.47,969720000.0,0.0,2.038826799364259
2011-04-19,0.45,0.45,0.45,659860000.0,0,0.0,2.56820905833597,0.45,0.45,743584000.0,-2.1739130434782594,2.56820905833597
2011-04-20,0.46,0.46,0.47,650516000.0,1,2.2222222222222143,2.5546425150881715,0.45,0.45,659860000.0,0.0,2.56820905833597
2011-04-21,0.46,0.46,0.47,421300000.0,0,0.0,1.5543248349518954,0.46,0.47,650516000.0,2.2222222222222143,2.5546425150881715
2011-04-25,0.46,0.47,0.47,619612000.0,0,2.1739130434782483,1.830465318242902,0.46,0.47,421300000.0,0.0,1.5543248349518954
2011-04-26,0.47,0.48,0.48,676000000.0,0,2.127659574468077,1.1915457363281141,0.47,0.47,619612000.0,2.1739130434782483,1.830465318242902
2011-04-27,0.48,0.48,0.48,450004000.0,0,0.0,1.1915457363281141,0.48,0.48,676000000.0,2.127659574468077,1.1915457363281141
2011-04-28,0.48,0.48,0.49,684000000.0,0,0.0,1.1781476762207492,0.48,0.48,450004000.0,0.0,1.1915457363281141
2011-04-29,0.49,0.5,0.51,836000000.0,1,4.166666666666674,1.7515513823642972,0.48,0.49,684000000.0,0.0,1.1781476762207492
2011-05-02,0.51,0.49,0.51,613824000.0,1,-2.0000000000000018,2.355833122425968,0.5,0.51,836000000.0,4.166666666666674,1.7515513823642972
2011-05-03,0.48,0.46,0.48,808000000.0,0,-6.122448979591832,3.7321525249300143,0.49,0.51,613824000.0,-2.0000000000000018,2.355833122425968
