,Date,Open,Close,High,Volume,aggregate_sentiment_score,daily_return,conditional_volatility,lagged_volatility_1,lagged_volatility_2,lagged_volatility_3,volatility_shocks
245,2023-05-30,4226.7,4205.52,4231.1,4228510000.0,0.5700000000000001,-0.0050110014905243765,0.6603494214236021,0.7046900536146434,0.6492288280471891,0.5483656351586632,-0.1310026776505373
252,2023-05-26,4156.16,4205.45,4212.87,3715460000.0,1.38,0.011859504927625492,0.6531614738744604,0.6603494214236021,0.7046900536146434,0.6492288280471891,0.8609910511430441
266,2023-05-25,4155.7,4151.27,4165.74,4147760000.0,0.79,-0.0010660057270735091,0.7783986403321452,0.6531614738744604,0.6603494214236021,0.7046900536146434,-0.5809967861630528
285,2023-05-24,4132.95,4115.24,4132.95,3739160000.0,-1.53,-0.004285074825487857,0.7147391075976189,0.7783986403321452,0.6531614738744604,0.6603494214236021,-0.28071254974344645
296,2023-05-23,4176.79,4145.58,4185.68,4155320000.0,-0.5000000000000001,-0.007472245432497213,0.6876978741986925,0.7147391075976189,0.7783986403321452,0.6531614738744604,0.16458696132907358
308,2023-05-22,4190.77,4192.62,4209.22,3728520000.0,-1.4000000000000001,0.00044144632132029536,0.7209178879025084,0.6876978741986925,0.7147391075976189,0.7783986403321452,-0.5196725257436335
316,2023-05-19,4204.14,4191.97,4212.91,4041900000.0,2.0300000000000002,-0.0028947656357780835,0.660558127015647,0.7209178879025084,0.6876978741986925,0.7147391075976189,-0.3202621914294378
326,2023-05-18,4157.68,4198.04,4202.2,3980500000.0,1.03,0.0097073367839756,0.6252112659427547,0.660558127015647,0.7209178879025084,0.6876978741986925,0.45461439033696077
343,2023-05-17,4122.85,4158.77,4164.66,4039080000.0,-0.1099999999999999,0.008712419806687138,0.7020404821048968,0.6252112659427547,0.660558127015647,0.7209178879025084,0.17957352711753727
355,2023-05-16,4127.95,4109.89,4135.54,3654200000.0,-0.18,-0.004375052992405308,0.7365502393451023,0.7020404821048968,0.6252112659427547,0.660558127015647,-0.30365283381956915
367,2023-05-15,4126.64,4136.27,4141.25,3562170000.0,0.18,0.002333617664734532,0.7072610970570629,0.7365502393451023,0.7020404821048968,0.6252112659427547,-0.4670430101732437
370,2023-05-12,4138.54,4124.08,4143.74,3533740000.0,0.45,-0.003493985801756184,0.6533340791138729,0.7072610970570629,0.7365502393451023,0.7020404821048968,-0.26634934985249265
375,2023-05-11,4132.24,4130.62,4132.79,3752900000.0,-0.05000000000000007,-0.00039203918455846975,0.6258229621723367,0.6533340791138729,0.7072610970570629,0.7365502393451023,-0.38347770935112957
