,Date,Open,Close,High,Movement,aggregate_sentiment_score,lagged_sentiment_score
65,2023-04-04,4128.02,4100.6,4133.12,1,-0.7300000000000001,1.91
66,2023-04-03,4102.2,4124.5,4127.66,0,1.91,4.2700000000000005
67,2023-03-31,4056.17,4109.31,4110.75,1,4.2700000000000005,1.61
68,2023-03-30,4046.73,4050.83,4057.85,1,1.61,-0.53
69,2023-03-29,3999.53,4027.81,4030.59,1,-0.53,-0.36
70,2023-03-28,3974.12,3971.27,3979.19,0,-0.36,2.82
71,2023-03-27,3982.92,3977.53,4003.83,1,2.82,-0.5499999999999999
72,2023-03-24,3939.2,3970.98,3972.73,0,-0.5499999999999999,-1.02
73,2023-03-23,3959.2,3948.71,4007.65,1,-1.02,0.01999999999999999
74,2023-03-22,4002.04,3936.96,4039.48,0,0.01999999999999999,0.6900000000000001
75,2023-03-21,3975.88,4002.87,4009.08,1,0.6900000000000001,0.30999999999999994
76,2023-03-20,3917.46,3951.57,3956.62,1,0.30999999999999994,-1.02
77,2023-03-17,3958.68,3916.63,3958.9,0,-1.02,1.99
78,2023-03-16,3878.92,3960.28,3964.45,0,1.99,-2.89
79,2023-03-15,3876.73,3891.92,3894.26,0,-2.89,-0.88
80,2023-03-14,3894.01,3919.29,3937.29,1,-0.88,-1.6099999999999999
81,2023-03-13,3835.12,3855.76,3905.05,0,-1.6099999999999999,-1.45
82,2023-03-10,3912.77,3861.59,3934.05,0,-1.45,-0.78
83,2023-03-09,3998.65,3918.32,4017.81,1,-0.78,-0.54
84,2023-03-08,3987.55,3992.01,4000.4,1,-0.54,-0.13999999999999999
85,2023-03-07,4048.26,3986.37,4050.0,0,-0.13999999999999999,0.65
86,2023-03-06,4055.14,4048.41,4078.48,1,0.65,0.01
87,2023-03-03,3998.02,4045.63,4048.29,1,0.01,-0.1799999999999999
88,2023-03-02,3938.67,3981.35,3990.84,0,-0.1799999999999999,-2.91
89,2023-03-01,3963.34,3951.38,3971.72,0,-2.91,-0.87
90,2023-02-28,3977.18,3970.14,3997.5,0,-0.87,-0.21000000000000002
91,2023-02-27,3992.36,3982.23,4018.05,1,-0.21000000000000002,0.25
92,2023-02-24,3973.23,3970.04,3978.25,0,0.25,-0.73
93,2023-02-23,4018.6,4012.32,4028.3,1,-0.73,0.06
94,2023-02-22,4001.83,3991.05,4017.37,1,0.06,-1.82
95,2023-02-21,4052.35,3997.34,4052.35,0,-1.82,-0.03
96,2023-02-17,4077.38,4079.09,4081.51,0,-0.03,-1.0899999999999999
97,2023-02-16,4114.75,4090.4,4136.54,0,-1.0899999999999999,-0.56
98,2023-02-15,4119.5,4147.6,4148.1,0,-0.56,-0.030000000000000013
99,2023-02-14,4126.7,4136.12,4159.77,0,-0.030000000000000013,0.31000000000000005
100,2023-02-13,4096.62,4137.29,4138.89,1,0.31000000000000005,0.03
101,2023-02-10,4068.91,4090.45,4094.36,0,0.03,-0.21000000000000002
102,2023-02-09,4144.25,4081.5,4156.22,1,-0.21000000000000002,-0.15
103,2023-02-08,4153.47,4117.85,4156.85,0,-0.15,-0.009999999999999967
104,2023-02-07,4105.35,4164.0,4176.54,0,-0.009999999999999967,-0.37
105,2023-02-06,4119.56,4111.08,4124.62,0,-0.37,-0.019999999999999934
106,2023-02-03,4136.68,4136.47,4182.35,0,-0.019999999999999934,0.53
107,2023-02-02,4158.68,4179.75,4195.43,1,0.53,-0.51
108,2023-02-01,4070.07,4119.2,4148.95,0,-0.51,-0.6
109,2023-01-31,4020.85,4076.6,4077.15,1,-0.6,-0.11
110,2023-01-30,4049.27,4017.77,4063.85,0,-0.11,0.55
111,2023-01-27,4053.71,4070.56,4094.2,0,0.55,-0.21999999999999997
112,2023-01-26,4036.08,4060.42,4061.57,1,-0.21999999999999997,-0.45
113,2023-01-25,3982.7,4016.21,4019.55,0,-0.45,-0.03
